date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:15:06	45485/45485	---M-Z	200	added ('OK')	text/html	etag:%22b1ad-65e1a10c-31a9fd445e69d374;gz%22	https://html.ditsolution.net/echofy/index-3.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-3.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:07	51885/51885	---M-Z	200	added ('OK')	text/html	etag:%22caad-65e1a10c-75a9d23f8afe92ca;gz%22	https://html.ditsolution.net/echofy/index-4.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-4.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:07	55109/55109	---M-Z	200	added ('OK')	text/html	etag:%22d745-65e1a10c-f488c5461fe012ed;gz%22	https://html.ditsolution.net/echofy/index-5.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-5.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:08	39798/39798	---M-Z	200	added ('OK')	text/html	etag:%229b76-65e1a10c-a2337a97b7cdffa7;gz%22	https://html.ditsolution.net/echofy/index-6.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-6.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:08	35997/35997	---M-Z	200	added ('OK')	text/html	etag:%228c9d-65e1a10c-8a55581159ee7b2b;gz%22	https://html.ditsolution.net/echofy/index-7.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/index-7.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:09	32356/32356	---M-Z	200	added ('OK')	text/html	etag:%227e64-65e1a10b-a5a01944a6c5defb;gz%22	https://html.ditsolution.net/echofy/about.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/about.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:09	23748/23748	---M-Z	200	added ('OK')	text/html	etag:%225cc4-65e1a10d-827f034f7216b6ab;gz%22	https://html.ditsolution.net/echofy/service.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/service.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:09	24598/24598	---M-Z	200	added ('OK')	text/html	etag:%226016-65e1a10c-9567a48270dd1ebd;gz%22	https://html.ditsolution.net/echofy/service-details.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/service-details.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:10	22254/22254	---M-Z	200	added ('OK')	text/html	etag:%2256ee-65e1a10c-32277bb013305358;gz%22	https://html.ditsolution.net/echofy/project.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/project.html	(from https://html.ditsolution.net/echofy/index.html)
22:15:10	25112/25112	---M-Z	200	added ('OK')	text/html	etag:%226218-65e1a10c-aef274f0c4136e0e;gz%22	https://html.ditsolution.net/echofy/project-details.html	C:/Mes%20Sites%20Web/eckofy/html.ditsolution.net/echofy/project-details.html	(from https://html.ditsolution.net/echofy/index.html)
